"id","text"
"Deferred payment","Pagamento posticipato"
"You will receive payment details later","Ti verranno forniti gli estremi per il pagamento successivamente"
"Payment managed by","Pagamento gestito da"
"{sitename} - New order N.{ordernumber} - payment request","{sitename} - Nuovo ordine N.{ordernumber} - richiesta pagamento"
"New order requiring payment","Nuovo ordine che richiede pagamento"
"A new order has been placed and requires payment handling","Un nuovo ordine è stato effettuato e richiede la gestione del pagamento"
"Buyer information","Informazioni acquirente"
"Please contact the buyer to arrange payment","Si prega di contattare l'acquirente per organizzare il pagamento"
