"id","text"
"Deferred payment","Deferred payment"
"You will receive payment details later","You will receive payment details later"
"Payment managed by","Payment managed by"
"{sitename} - New order N.{ordernumber} - payment request","{sitename} - New order N.{ordernumber} - payment request"
"New order requiring payment","New order requiring payment"
"A new order has been placed and requires payment handling","A new order has been placed and requires payment handling"
"Buyer information","Buyer information"
"Please contact the buyer to arrange payment","Please contact the buyer to arrange payment"
